Syscall N#,Syscall name,Fuschia,Kerla,HermiTux,Unikraft
0,read,Thu May 6 03:18:28 2021 +0000,Wed Mar 24 02:57:45 2021 +0900,Tue Oct 24 19:13:04 2017 -0400,Thu Jan 9 15:30:10 2020 +0100
1,write,Thu May 6 03:18:28 2021 +0000,Wed Mar 24 02:57:45 2021 +0900,Thu Sep 21 21:01:57 2017 -0400,Thu Jan 9 15:30:09 2020 +0100
2,open,Fri Jan 14 03:35:19 2022 +0000,Fri Mar 26 08:37:07 2021 +0900,Mon Oct 16 12:11:48 2017 -0400,Sat May 9 09:29:41 2020 +0300
3,close,Thu May 6 03:18:28 2021 +0000,Fri Mar 26 08:37:29 2021 +0900,Tue Oct 24 19:13:04 2017 -0400,Fri Apr 17 22:41:12 2020 +0300
4,stat,Thu Jan 13 00:31:47 2022 +0000,Wed Mar 24 23:39:49 2021 +0900,Sat Nov 18 16:19:42 2017 -0500,Mon Feb 15 11:48:15 2021 +0200
5,fstat,Thu May 6 03:18:28 2021 +0000,Thu Apr 22 22:15:23 2021 +0900,Sat Nov 18 16:19:42 2017 -0500,Thu Jan 9 15:30:11 2020 +0100
6,lstat,Thu Jan 13 00:31:47 2022 +0000,Sat Apr 3 15:14:51 2021 +0900,Sat Nov 18 16:19:42 2017 -0500,Sat May 2 21:18:34 2020 +0300
7,poll,Thu Nov 4 00:32:53 2021 +0000,Wed Mar 31 22:06:49 2021 +0900,Thu Dec 3 21:32:06 2020 +0000,
8,lseek,Thu Jun 3 16:21:07 2021 +0000,,Tue Oct 24 19:13:04 2017 -0400,Fri Apr 17 22:41:13 2020 +0300
9,mmap,Thu May 6 03:18:28 2021 +0000,Mon Apr 5 22:30:46 2021 +0900,Tue Oct 24 19:13:04 2017 -0400,Fri Jul 17 15:47:15 2020 +0300
10,mprotect,Thu May 6 03:18:28 2021 +0000,,Fri Dec 8 10:01:17 2017 -0500,Thu Feb 10 14:53:44 2022 +0100
11,munmap,Thu May 6 03:18:28 2021 +0000,,Tue Oct 17 16:53:51 2017 -0400,Fri Jul 17 15:47:15 2020 +0300
12,brk,Thu May 6 03:18:28 2021 +0000,Wed Mar 24 02:57:45 2021 +0900,Tue Oct 17 16:53:51 2017 -0400,
13,rt_sigaction,Fri May 7 19:23:31 2021 +0000,Sun Apr 18 15:40:42 2021 +0900,Sun Nov 19 20:21:11 2017 -0500,
14,rt_sigprocmask,Thu May 6 03:18:28 2021 +0000,Tue Dec 7 14:33:30 2021 +0100,Thu Nov 23 20:39:32 2017 -0500,
15,rt_sigreturn,Mon May 24 20:49:49 2021 +0000,Sun May 2 07:25:45 2021 +0000,,
16,ioctl,Thu May 6 03:18:28 2021 +0000,Wed Mar 24 02:57:45 2021 +0900,Thu Oct 12 17:19:41 2017 -0400,Tue Mar 16 21:58:34 2021 +0200
17,pread64,Thu May 6 03:18:28 2021 +0000,,Sat Oct 6 20:55:34 2018 -0400,Tue Feb 16 15:35:03 2021 +0100
18,pwrite64,Tue Jun 29 20:21:19 2021 +0000,,Sat Oct 6 20:55:34 2018 -0400,Tue Feb 16 15:39:50 2021 +0100
19,readv,Wed May 19 18:45:09 2021 +0000,,Tue Oct 24 20:18:07 2017 -0400,Thu Jan 9 15:30:10 2020 +0100
20,writev,Thu May 6 03:18:28 2021 +0000,Wed Mar 24 02:57:45 2021 +0900,Fri Oct 13 11:13:36 2017 -0400,Wed Jun 5 17:55:09 2019 +0200
21,access,Thu May 6 03:18:28 2021 +0000,,Wed Dec 6 19:58:48 2017 -0500,Tue Apr 28 15:07:38 2020 +0300
22,pipe,Thu Jan 13 22:55:06 2022 +0000,Sun Apr 18 21:13:11 2021 +0900,Wed Nov 25 17:38:02 2020 +0000,Sat May 9 09:29:45 2020 +0300
23,select,,Sun Apr 18 22:16:41 2021 +0900,Tue Oct 2 20:27:31 2018 -0400,
24,sched_yield,,,Thu Mar 29 18:47:00 2018 -0400,Wed Feb 17 14:37:33 2021 +0100
25,mremap,Tue Nov 9 00:01:22 2021 +0000,,Thu Oct 18 19:22:14 2018 -0400,Tue Mar 16 22:49:39 2021 +0200
26,msync,Tue Aug 3 13:11:26 2021 +0000,,,
27,mincore,,,Fri Aug 3 15:18:45 2018 -0400,
28,madvise,Tue Oct 19 19:16:54 2021 +0000,,Tue Nov 21 15:28:12 2017 -0500,Tue Mar 23 16:14:24 2021 +0200
29,shmget,,,,
30,shmat,,,,
31,shmctl,,,,
32,dup,Fri Jul 16 15:25:16 2021 +0000,,,Tue Apr 28 15:07:45 2020 +0300
33,dup2,,Thu Apr 22 22:17:08 2021 +0900,Sun Oct 13 20:31:13 2019 -0500,Tue Apr 28 15:07:47 2020 +0300
