Syscall#,staticbinary,staticsource,dyn_conservative,dyn_stubfake
0,5,5,5,4
1,5,5,5,3
2,5,5,1,0
3,5,5,5,2
4,5,5,3,2
5,5,5,5,4
6,5,5,3,2
7,5,4,1,1
8,5,5,5,2
9,5,5,5,4
10,5,4,5,4
11,5,5,5,0
12,5,5,5,2
13,3,5,5,0
14,4,1,5,0
15,1,0,4,4
16,5,5,4,2
17,4,1,3,3
18,3,1,3,3
19,4,4,1,1
20,5,4,3,3
21,5,5,5,1
22,4,3,4,3
23,3,3,1,1
24,5,4,1,1
25,5,3,2,1
26,1,2,1,1
27,0,0,0,0
28,5,4,3,1
29,1,1,0,0
30,2,1,0,0
31,0,1,0,0
32,4,3,1,0
33,5,4,3,2
34,5,0,0,0
35,5,4,3,2
36,1,0,0,0
37,2,3,0,0
38,5,3,1,1
39,5,5,5,1
40,1,2,1,0
41,5,4,5,5
42,4,4,5,2
43,4,4,1,1
44,5,4,4,3
45,4,3,3,2
46,5,3,3,3
47,5,4,4,3
48,2,2,2,2
49,5,5,4,4
50,4,4,4,4
51,5,4,5,4
52,3,3,2,1
53,3,3,2,2
54,4,4,4,4
55,4,4,3,2
56,3,1,5,3
57,5,5,0,0
58,0,0,0,0
59,5,4,5,5
60,5,5,2,2
61,3,1,4,4
62,5,5,2,2
63,5,3,3,1
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,1,1,0,0
68,0,0,1,1
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,5,5,5,1
73,1,2,0,0
74,2,2,1,0
75,1,2,0,0
76,1,2,1,1
77,5,5,2,2
78,5,1,3,2
79,5,4,3,0
80,5,4,4,3
81,0,0,0,0
82,4,5,4,4
83,3,4,2,1
84,2,2,2,2
85,1,1,0,0
86,1,1,1,1
87,5,5,5,4
88,1,1,0,0
89,5,4,3,0
90,4,4,3,3
91,2,3,1,1
92,2,3,0,0
93,1,1,0,0
94,0,0,0,0
95,3,3,3,2
96,5,5,1,0
97,5,5,0,0
98,3,3,1,0
99,5,2,3,0
100,1,0,0,0
101,0,0,1,1
102,5,4,3,1
103,1,2,0,0
104,5,3,2,0
105,3,3,1,0
106,3,3,1,0
107,5,4,4,0
108,4,3,2,0
109,1,1,0,0
110,2,1,2,0
111,0,0,1,1
112,4,4,1,1
113,0,0,0,0
114,0,0,1,1
115,1,1,0,0
116,3,2,1,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,1,1
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,1,0,1,1
131,1,1,1,1
132,0,1,1,1
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,1,2,1,1
138,0,1,0,0
139,0,0,0,0
140,0,0,0,0
141,1,1,0,0
142,0,0,0,0
143,5,0,1,1
144,5,0,0,0
145,5,0,0,0
146,5,0,0,0
147,5,0,0,0
148,0,0,0,0
149,2,2,0,0
150,0,0,0,0
151,1,1,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,1,0,0,0
157,3,3,3,0
158,3,3,5,5
159,0,0,0,0
160,4,5,1,1
161,1,1,0,0
162,1,0,1,1
163,0,0,0,0
164,0,0,1,1
165,0,0,1,1
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,1,1
182,0,0,0,0
183,0,0,1,1
184,0,0,0,0
185,0,0,0,0
186,4,1,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,1,1
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,1,1
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,5,5,1,0
202,4,2,4,0
203,4,3,2,2
204,1,1,1,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
