Syscall N#,Syscall name,Status,
0,read,implemented,
1,write,implemented,
2,open,implemented,partially supported
3,close,implemented,
4,stat,implemented,
5,fstat,implemented,
6,lstat,implemented,
7,poll,implemented,
8,lseek,implemented,
9,mmap,implemented,partially supported
10,mprotect,implemented,
11,munmap,implemented,
12,brk,implemented,
13,rt_sigaction,implemented,
14,rt_sigprocmask,implemented,
15,rt_sigreturn,implemented,
16,ioctl,implemented,partially supported
17,pread64,implemented,
18,pwrite64,implemented,
19,readv,implemented,
20,writev,implemented,
21,access,implemented,
22,pipe,implemented,
23,select,implemented,
24,sched_yield,implemented,
25,mremap,implemented,
26,msync,implemented,partially supported
27,mincore,implemented,partially supported
28,madvise,implemented,partially supported
29,shmget,implemented,partially supported
30,shmat,implemented,partially supported
31,shmctl,implemented,partially supported
32,dup,implemented,
33,dup2,implemented,
34,pause,implemented,
35,nanosleep,implemented,
36,getitimer,implemented,
37,alarm,implemented,
38,setitimer,implemented,
39,getpid,implemented,
40,sendfile,implemented,
41,socket,implemented,partially supported
42,connect,implemented,
43,accept,implemented,
44,sendto,implemented,
45,recvfrom,implemented,
46,sendmsg,implemented,
47,recvmsg,implemented,partially supported
48,shutdown,implemented,partially supported
49,bind,implemented,partially supported
50,listen,implemented,
51,getsockname,implemented,
52,getpeername,implemented,
53,socketpair,implemented,
54,setsockopt,implemented,partially supported
55,getsockopt,implemented,partially supported
56,clone,implemented,partially supported
57,fork,implemented,
58,vfork,implemented,
59,execve,implemented,
60,exit,implemented,
61,wait4,implemented,
62,kill,implemented,
63,uname,implemented,
64,semget,implemented,
65,semop,implemented,
66,semctl,implemented,
67,shmdt,implemented,
68,msgget,implemented,
69,msgsnd,implemented,
70,msgrcv,implemented,
71,msgctl,implemented,
72,fcntl,implemented,partially supported
73,flock,implemented,partially supported
74,fsync,implemented,partially supported
75,fdatasync,implemented,partially supported
76,truncate,implemented,
77,ftruncate,implemented,
78,getdents,implemented,
79,getcwd,implemented,
80,chdir,implemented,
81,fchdir,implemented,
82,rename,implemented,
