Syscall N#,Syscall name,Status
0,read,implemented
1,write,implemented
2,open,implemented
3,close,implemented
4,stat,implemented
5,fstat,implemented
6,lstat,implemented
7,poll,faked
8,lseek,implemented
9,mmap,partially implemented
10,mprotect,faked
11,munmap,implemented
12,brk,implemented
13,rt_sigaction,implemented
14,rt_sigprocmask,not implemented
15,rt_sigreturn,not implemented
16,ioctl,partially implemented
17,pread64,implemented
18,pwrite64,implemented
19,readv,implemented
20,writev,implemented
21,access,implemented
22,pipe,implemented
23,select,implemented
24,sched_yield,implemented
25,mremap,partially implemented
26,msync,not implemented
27,mincore,stubbed
28,madvise,stubbed
29,shmget,not implemented
30,shmat,not implemented
31,shmctl,not implemented
32,dup,not implemented
33,dup2,implemented
34,pause,not implemented
35,nanosleep,implemented
36,getitimer,not implemented
37,alarm,not implemented
38,setitimer,not implemented
39,getpid,implemented
40,sendfile,implemented
41,socket,implemented
42,connect,implemented
43,accept,implemented
44,sendto,implemented
45,recvfrom,implemented
46,sendmsg,not implemented
47,recvmsg,not implemented
48,shutdown,implemented
49,bind,implemented
50,listen,implemented
51,getsockname,implemented
52,getpeername,implemented
53,socketpair,not implemented
54,setsockopt,implemented
55,getsockopt,not implemented
56,clone,partially implemented
57,fork,not implemented
58,vfork,not implemented
59,execve,not implemented
60,exit,implemented
61,wait4,not implemented
62,kill,implemented
63,uname,implemented
64,semget,not implemented
65,semop,not implemented
66,semctl,not implemented
67,shmdt,not implemented
68,msgget,not implemented
69,msgsnd,not implemented
70,msgrcv,not implemented
71,msgctl,not implemented
72,fcntl,implemented
73,flock,not implemented
74,fsync,implemented
75,fdatasync,implemented
76,truncate,not implemented
77,ftruncate,not implemented
78,getdents,implemented
79,getcwd,implemented
80,chdir,implemented
81,fchdir,not implemented
82,rename,not implemented
83,mkdir,implemented
84,rmdir,implemented
85,creat,implemented
86,link,not implemented
87,unlink,implemented
88,symlink,not implemented
89,readlink,implemented
90,chmod,not implemented
91,fchmod,not implemented
92,chown,not implemented
93,fchown,not implemented
94,lchown,not implemented
95,umask,faked
