Syscall N#,Syscall name,Status,,Implemented,Stubbed,fs API,Notes
0,read,Implemented,,open,system,,syscalls are function calls. OSv uses musl
1,write,Implemented,,read,setpgid,,
2,open,Implemented,,uname,brk,,
3,close,Implemented,,write,execve,,
4,stat,Implemented,,gettid,signalfd,,
5,fstat,Implemented,,clock_gettime,fchown,,
6,lstat,Implemented,,clock_getres,chown,,
7,poll,Implemented,,futex,lchown,,
8,lseek,Implemented,,close,chroot,,
9,mmap,Implemented,,pipe2,vfork,,
10,mprotect,Implemented,,epoll_create1,fork,,
11,munmap,Implemented,,eventfd2,setsid,,
12,brk,Stubbed,,epoll_ctl,mlockall,,
13,rt_sigaction,Implemented,,epoll_wait,munlockall,,
14,rt_sigprocmask,Implemented,,accept4,mlock,,
15,rt_sigreturn,Not implemented,,connect,munlock,,
16,ioctl,Implemented,,get_mempolicy,prctl,,
17,pread64,Implemented,,sched_getaffinity_syscall,sysctl,,
18,pwrite64,Implemented,,long_mmap,wait4,,
19,readv,Implemented,,munmap,getresuid,,
20,writev,Implemented,,rt_sigaction,getresgid,,
21,access,Implemented,,rt_sigprocmask,inotify_init,,
22,pipe,Implemented,,sys_exit,inotify_init1,,
23,select,Implemented,,sigaltstack,inotify_add_watch,,
24,sched_yield,Implemented,,select,inotify_rm_watch,,
25,mremap,Not implemented,,madvise,io_setup,,
26,msync,Implemented,,sched_yield,io_submit,,
27,mincore,Implemented,,mincore,io_getevents,,
28,madvise,Implemented,,openat,io_destroy,,
29,shmget,Implemented,,socket,io_cancel,,
30,shmat,Implemented,,setsockopt,setrlimit,,
31,shmctl,Implemented,,getsockopt,geteuid,,
32,dup,Implemented,,getpeername,sysctl,,
33,dup2,Implemented,,bind,pselect6,,
34,pause,Implemented,,listen,getgroups,,
35,nanosleep,Implemented,,ioctl,setgroups,,
36,getitimer,Not implemented,,stat,getsid,,
37,alarm,Implemented,,fstat,getppid,,
38,setitimer,Not implemented,,getsockname,getpgrp,,
39,getpid,Implemented,,sendto,getpgid,,
40,sendfile,Not implemented,,sendmsg,,,
41,socket,Implemented,,recvfrom,,,
42,connect,Implemented,,recvmsg,,,
43,accept,Not implemented,,dup3,,,
44,sendto,Implemented,,flock,,,
45,recvfrom,Implemented,,pwrite64,,,
46,sendmsg,Implemented,,fdatasync,,,
47,recvmsg,Implemented,,pselect6,,,
48,shutdown,Implemented,,fcntl,,,
49,bind,Implemented,,pread64,,,
50,listen,Implemented,,ftruncate,,,
51,getsockname,Implemented,,fsync,,,
52,getpeername,Implemented,,epoll_pwait,,,
53,socketpair,Not implemented,,getrandom,,,
54,setsockopt,Implemented,,nanosleep,,,
55,getsockopt,Implemented,,fstatat,,,
56,clone,Not implemented,,sys_exit_group,,,
57,fork,Stubbed,,readlinkat,,,
58,vfork,Stubbed,,getpid,,,
59,execve,Stubbed,,set_mempolicy,,,
60,exit,Not implemented,,sched_setaffinity_syscall,,,
61,wait4,Stubbed,,mkdir,,,
62,kill,Not implemented,,mkdirat,,,
63,uname,Implemented,,tgkill,,,
64,semget,Not implemented,,pipe,,,
65,semop,Not implemented,,readv,,,
66,semctl,Not implemented,,pwritev,,,
67,shmdt,Implemented,,writev,,,
68,msgget,Not implemented,,sysinfo,,,
69,msgsnd,Not implemented,,getrlimit,,,
70,msgrcv,Not implemented,,sched_yield,,,
71,msgctl,Not implemented,,getpriority,,,
72,fcntl,Implemented,,setpriority,,,
73,flock,Implemented,,sync,,,
74,fsync,Implemented,,mincore,,,
75,fdatasync,Implemented,,msync,,,
76,truncate,Not implemented,,mprotect,,,
77,ftruncate,Implemented,,ppoll,,,
78,getdents,Not implemented,,poll,,,
79,getcwd,Not implemented,,epoll_create,,,
80,chdir,Not implemented,,reboot,,,
81,fchdir,Not implemented,,shutdown,,,
82,rename,Not implemented,,shmget,,,
83,mkdir,Implemented,,unlinkat,,,
84,rmdir,Implemented,,rmdir,,,
85,creat,Not implemented,,unlink,,,
86,link,Not implemented,,lstat,,,
87,unlink,Implemented,,access,,,
88,symlink,Not implemented,,lseek,,,
89,readlink,Not implemented,,gettimeofday,,,
90,chmod,Not implemented,,timerfd_gettime,,,
91,fchmod,Not implemented,,timerfd_settime,,,
92,chown,Stubbed,,timerfd_create,,,
93,fchown,Stubbed,,setregid,,,
94,lchown,Stubbed,,setresgid,,,
95,umask,Not implemented,,setreuid,,,
96,gettimeofday,Implemented,,setresuid,,,
97,getrlimit,Implemented,,setgid,,,
98,getrusage,Not implemented,,setuid,,,
99,sysinfo,Implemented,,eventfd,,,
100,times,Not implemented,,eventfd2,,,
101,ptrace,Not implemented,,mount,,,
102,getuid,Not implemented,,umount2,,,
103,syslog,Not implemented,,sethostname,,,
104,getgid,Not implemented,,mmap,,,
105,setuid,Implemented,,shmat,,,
106,setgid,Implemented,,shmctl,,,
107,geteuid,Stubbed,,shmdt,,,
108,getegid,Not implemented,,dup,,,
109,setpgid,Stubbed,,dup2,,,
110,getppid,Stubbed,,pause,,,
111,getpgrp,Stubbed,,alarm,,,
112,setsid,Stubbed,,,,,
113,setreuid,Implemented,,,,,
114,setregid,Implemented,,,,,
115,getgroups,Stubbed,,,,,
116,setgroups,Stubbed,,,,,
117,setresuid,Implemented,,,,,
118,getresuid,Stubbed,,,,,
119,setresgid,Implemented,,,,,
120,getresgid,Stubbed,,,,,
121,getpgid,Stubbed,,,,,
122,setfsuid,Not implemented,,,,,
123,setfsgid,Not implemented,,,,,
124,getsid,Stubbed,,,,,
125,capget,Not implemented,,,,,
126,capset,Not implemented,,,,,
127,rt_sigpending,Not implemented,,,,,
128,rt_sigtimedwait,Not implemented,,,,,
129,rt_sigqueueinfo,Not implemented,,,,,
130,rt_sigsuspend,Not implemented,,,,,
131,sigaltstack,Implemented,,,,,
132,utime,Not implemented,,,,,
133,mknod,Not implemented,,,,,
134,uselib,Not implemented,,,,,
135,personality,Not implemented,,,,,
136,ustat,Not implemented,,,,,
137,statfs,Not implemented,,,,,
138,fstatfs,Not implemented,,,,,
139,sysfs,Not implemented,,,,,
140,getpriority,Implemented,,,,,
141,setpriority,Implemented,,,,,
142,sched_setparam,Not implemented,,,,,
143,sched_getparam,Not implemented,,,,,
144,sched_setscheduler,Not implemented,,,,,
145,sched_getscheduler,Not implemented,,,,,
146,sched_get_priority_max,Not implemented,,,,,
147,sched_get_priority_min,Not implemented,,,,,
148,sched_rr_get_interval,Not implemented,,,,,
149,mlock,Stubbed,,,,,
150,munlock,Stubbed,,,,,
151,mlockall,Stubbed,,,,,
152,munlockall,Stubbed,,,,,
153,vhangup,Not implemented,,,,,
154,modify_ldt,Not implemented,,,,,
155,pivot_root,Not implemented,,,,,
156,_sysctl,Not implemented,,,,,
157,prctl,Stubbed,,,,,
158,arch_prctl,Not implemented,,,,,
159,adjtimex,Not implemented,,,,,
