Syscall N#,Syscall name,Status,Remark,
0,read,implemented,,Blank = not implemented
1,write,implemented,,
2,open,implemented,,
3,close,implemented,,
4,stat,implemented,,
5,fstat,,,
6,lstat,,,
7,poll,implemented,operates on kernel objects instead on file descriptor,
8,lseek,implemented,,
9,mmap,partially implemented,drivers/simulator,
10,mprotect,,,
11,munmap,partially implemented,drivers/simulator,
12,brk,,,
13,rt_sigaction,,,
14,rt_sigprocmask,,,
15,rt_sigreturn,,,
16,ioctl,implemented,,
17,pread64,,,
18,pwrite64,,,
19,readv,,,
20,writev,,,
21,access,,,
22,pipe,,,
23,select,implemented,,
24,sched_yield,implemented,,
25,mremap,,,
26,msync,,,
27,mincore,,,
28,madvise,,,
29,shmget,,,
30,shmat,,,
31,shmctl,,,
32,dup,,,
33,dup2,,,
34,pause,,,
35,nanosleep,implemented,,
36,getitimer,,,
37,alarm,,,
38,setitimer,,,
39,getpid,,,
40,sendfile,,,
41,socket,implemented,,
42,connect,implemented,,
43,accept,implemented,,
44,sendto,implemented,,
45,recvfrom,implemented,,
46,sendmsg,implemented,,
47,recvmsg,,todo from the dev,
48,shutdown,implemented,,
49,bind,implemented,,
50,listen,implemented,,
51,getsockname,implemented,,
52,getpeername,implemented,,
53,socketpair,implemented,,
54,setsockopt,implemented,,
55,getsockopt,implemented,,
56,clone,,,
57,fork,,,
58,vfork,,,
59,execve,,,
60,exit,implemented,,
61,wait4,,,
62,kill,,,
63,uname,,,
64,semget,,,
65,semop,,,
66,semctl,,,
67,shmdt,,,
68,msgget,,,
69,msgsnd,,,
70,msgrcv,,,
71,msgctl,,,
72,fcntl,implemented,based on ioctl,
73,flock,,,
74,fsync,implemented,,
75,fdatasync,,,
76,truncate,implemented,,
77,ftruncate,implemented,drivers/simulator,
78,getdents,,,
79,getcwd,implemented,,
80,chdir,,,
81,fchdir,,,
82,rename,implemented,,
83,mkdir,implemented,,
84,rmdir,,,
85,creat,,,
86,link,,,
87,unlink,implemented,,
88,symlink,,,
89,readlink,,,
90,chmod,,,
91,fchmod,,,
92,chown,,,
93,fchown,,,
94,lchown,,,
95,umask,,,
96,gettimeofday,implemented,,
97,getrlimit,,,
98,getrusage,,,
99,sysinfo,,,
100,times,,,
101,ptrace,,,
102,getuid,implemented,,
103,syslog,,,
104,getgid,implemented,,
105,setuid,,,
106,setgid,,,
107,geteuid,,,
108,getegid,,,
109,setpgid,,,
110,getppid,,,
111,getpgrp,,,
112,setsid,,,
113,setreuid,,,
114,setregid,,,
115,getgroups,,,
116,setgroups,,,
117,setresuid,,,
118,getresuid,,,
119,setresgid,,,
120,getresgid,,,
121,getpgid,,,
122,setfsuid,,,
123,setfsgid,,,
124,getsid,,,
125,capget,,,
126,capset,,,
127,rt_sigpending,,,
128,rt_sigtimedwait,,,
129,rt_sigqueueinfo,,,
130,rt_sigsuspend,,,
131,sigaltstack,,,
132,utime,,,
133,mknod,,,
134,uselib,,,
135,personality,,,
136,ustat,,,
137,statfs,,,
138,fstatfs,,,
139,sysfs,,,
140,getpriority,,,
141,setpriority,,,
142,sched_setparam,,,
143,sched_getparam,,,
144,sched_setscheduler,,,
145,sched_getscheduler,,,
146,sched_get_priority_max,implemented,,
147,sched_get_priority_min,implemented,,
148,sched_rr_get_interval,,,
149,mlock,,,
150,munlock,,,
151,mlockall,,,
152,munlockall,,,
153,vhangup,,,
154,modify_ldt,,,
155,pivot_root,,,
156,_sysctl,,,
157,prctl,,,
158,arch_prctl,,,
159,adjtimex,,,
160,setrlimit,,,
161,chroot,,,
162,sync,implemented,,
163,acct,,,
164,settimeofday,,,
165,mount,implemented,,
166,umount2,,,
167,swapon,,,
168,swapoff,,,
169,reboot,,,
170,sethostname,,,
171,setdomainname,,,
172,iopl,,,
173,ioperm,,,
174,create_module,,,
175,init_module,,,
176,delete_module,,,
177,get_kernel_syms,,,
178,query_module,,,
179,quotactl,,,
180,nfsservctl,,,
181,getpmsg,,,
182,putpmsg,,,
183,afs_syscall,,,
184,tuxcall,,,
185,security,,,
186,gettid,,,
187,readahead,,,
188,setxattr,,,
189,lsetxattr,,,
190,fsetxattr,,,
191,getxattr,,,
192,lgetxattr,,,
193,fgetxattr,,,
194,listxattr,,,
195,llistxattr,,,
196,flistxattr,,,
197,removexattr,,,
198,lremovexattr,,,
199,fremovexattr,,,
200,tkill,,,
201,time,implemented,,
202,futex,,,
203,sched_setaffinity,,,
204,sched_getaffinity,,,
205,set_thread_area,,,
206,io_setup,,,
207,io_destroy,,,
208,io_getevents,,,
209,io_submit,,,
210,io_cancel,,,
211,get_thread_area,,,
212,lookup_dcookie,,,
213,epoll_create,,,
214,epoll_ctl_old,,,
215,epoll_wait_old,,,
216,remap_file_pages,,,
217,getdents64,,,
218,set_tid_address,,,
219,restart_syscall,,,
220,semtimedop,,,
221,fadvise64,,,
222,timer_create,implemented,,
223,timer_settime,implemented,,
224,timer_gettime,implemented,,
225,timer_getoverrun,,,
226,timer_delete,implemented,,
227,clock_settime,implemented,,
228,clock_gettime,implemented,,
229,clock_getres,,,
230,clock_nanosleep,,,
231,exit_group,,,
232,epoll_wait,,,
233,epoll_ctl,,,
234,tgkill,,,
235,utimes,,,
236,vserver,,,
237,mbind,,,
238,set_mempolicy,,,
239,get_mempolicy,,,
240,mq_open,implemented,,
241,mq_unlink,implemented,,
242,mq_timedsend,implemented,,
243,mq_timedreceive,implemented,,
244,mq_notify,,,
245,mq_getsetattr,,,
246,kexec_load,,,
247,waitid,,,
248,add_key,,,
249,request_key,,,
250,keyctl,,,
251,ioprio_set,,,
252,ioprio_get,,,
253,inotify_init,,,
254,inotify_add_watch,,,
255,inotify_rm_watch,,,
256,migrate_pages,,,
257,openat,,,
258,mkdirat,,,
259,mknodat,,,
260,fchownat,,,
261,futimensat,,,
262,newfstatat,,,
263,unlinkat,,,
264,renameat,,,
265,linkat,,,
266,symlinkat,,,
267,readlinkat,,,
268,fchmodat,,,
269,faccessat,,,
270,pselect6,,,
271,ppoll,,,
272,unshare,,,
273,set_robust_list,,,
274,get_robust_list,,,
275,splice,,,
276,tee,,,
277,sync_file_range,,,
278,vmsplice,,,
279,move_pages,,,
280,utimensat,,,
281,epoll_pwait,,,
282,signalfd,,,
283,timerfd_create,,,
284,eventfd,implemented,,
285,fallocate,,,
286,timerfd_settime,,,
287,timerfd_gettime,,,
288,accept4,,,
289,signalfd4,,,
290,eventfd2,,,
291,epoll_create1,,,
292,dup3,,,
293,pipe2,,,
294,inotify_init1,,,
295,preadv,,,
296,pwritev,,,
297,rt_tgsigqueueinfo,,,
298,perf_event_open,,,
299,recvmmsg,,,
300,fanotify_init,,,
301,fanotify_mark,,,
302,prlimit64,,,
303,name_to_handle_at,,,
304,open_by_handle_at,,,
305,clock_adjtime,,,
306,syncfs,,,
307,sendmmsg,,,
308,setns,,,
309,getcpu,,,
310,process_vm_readv,,,
311,process_vm_writev,,,
312,kcmp,,,
313,finit_module,,,
314,sched_setattr,,,
315,sched_getattr,,,
316,renameat2,,,
317,seccomp,,,
318,getrandom,,,
319,memfd_create,,,
320,kexec_file_load,,,
321,bpf,,,
322,execveat,,,
323,userfaultfd,,,
324,membarrier,,,
325,mlock2,,,
326,copy_file_range,,,
327,preadv2,,,
328,pwritev2,,,
329,pkey_mprotect,,,
330,pkey_alloc,,,
331,pkey_free,,,
332,statx,,,
333,io_pgetevents,,,
334,rseq,,,
