time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,33,12,3,2
2026-05-31 00:00:00+00:00,9,5,0,0
2026-06-01 00:00:00+00:00,15,6,1,1
2026-06-02 00:00:00+00:00,14,8,2,1
2026-06-03 00:00:00+00:00,3,3,3,2
2026-06-04 00:00:00+00:00,8,4,0,0
2026-06-05 00:00:00+00:00,3,2,2,1
2026-06-06 00:00:00+00:00,18,8,0,0
2026-06-07 00:00:00+00:00,11,5,0,0
2026-06-08 00:00:00+00:00,23,9,1,1
2026-06-09 00:00:00+00:00,24,9,1,1
2026-06-10 00:00:00+00:00,1,1,0,0
2026-06-11 00:00:00+00:00,17,7,2,2
2026-06-12 00:00:00+00:00,33,10,1,1
