time_iso8601,stars_cumulative
2021-10-29 00:00:00+00:00,1
2022-01-10 00:00:00+00:00,2
2023-09-28 00:00:00+00:00,3
2023-09-29 00:00:00+00:00,4
2023-10-03 00:00:00+00:00,5
2023-10-04 00:00:00+00:00,7
2023-10-31 00:00:00+00:00,9
2023-11-01 00:00:00+00:00,10
2023-11-27 00:00:00+00:00,11
2023-12-13 00:00:00+00:00,12
2024-01-03 00:00:00+00:00,13
2024-01-05 00:00:00+00:00,14
2024-02-18 00:00:00+00:00,15
2024-02-27 00:00:00+00:00,16
2024-04-09 00:00:00+00:00,18
2024-04-12 00:00:00+00:00,19
2024-06-10 00:00:00+00:00,20
2024-07-09 00:00:00+00:00,21
2024-07-23 00:00:00+00:00,22
2024-08-20 00:00:00+00:00,23
2024-09-28 00:00:00+00:00,24
2024-10-21 00:00:00+00:00,25
2024-12-16 00:00:00+00:00,26
2025-01-28 00:00:00+00:00,27
2025-02-02 00:00:00+00:00,28
2025-02-08 00:00:00+00:00,30
2025-02-25 00:00:00+00:00,31
